V1,V2,V3
164.109,418.276,318
167.416,394.256,343
159.90300000000002,383.123,330
159.98600000000002,403.878,323
158.96,384.59400000000005,333
157.764,372.40799999999996,299
164.139,397.194,362
169.855,404.612,370
165.267,406.844,336
162.942,408.47999999999996,301
161.625,397.531,322
167.01000000000002,420.667,333
163.428,398.799,347
162.999,401.085,322
145.597,392.282,304
163.579,398.381,312
167.00600000000003,417.457,347
172.602,410.58,367
169.547,394.048,362
159.382,424.667,337
174.65800000000002,436.986,349
162.722,379.038,351
163.661,390.778,362
167.51100000000002,424.639,348
159.186,402.426,313
151.698,382.749,299
167.85000000000002,396.35900000000004,343
153.619,389.11,324
154.981,356.293,352
163.864,428.727,345
160.65,401.46900000000005,335
155.688,410.977,317
165.89700000000002,412.15999999999997,328
157.714,378.055,355
179.64800000000002,443.416,359
181.115,410.784,358
162.911,391.102,340
145.769,360.34499999999997,318
161.329,411.23299999999995,330
158.55399999999997,411.376,317
176.02,420.238,367
169.645,398.262,378
155.573,383.587,306
164.687,401.11199999999997,324
163.525,440.116,340
163.113,408.875,340
157.06199999999998,383.496,317
174.36200000000002,418.73299999999995,363
183.418,464.36400000000003,389
166.10899999999998,406.90999999999997,344
164.365,428.121,376
160.33700000000002,441.712,316
176.797,412.57000000000005,370
164.846,396.326,365
158.245,379.85900000000004,322
174.221,405.496,354
170.6,400.032,323
164.89100000000002,436.912,290
160.371,394.7339999999999,356
152.313,374.98400000000004,338
162.469,416.14099999999996,342
171.64000000000001,414.13,393
170.92200000000003,419.628,339
169.262,415.164,345
164.64000000000001,441.619,321
160.099,377.245,340
162.426,428.414,309
169.29900000000004,428.254,356
168.556,458.161,333
159.16700000000003,383.09899999999993,324
172.648,425.48,371
148.55,381.445,297
149.39000000000001,360.25,345
162.625,412.32399999999996,376
153.798,400.182,341
155.376,364.563,345
162.472,396.30400000000003,323
168.935,414.24199999999996,390
176.949,418.562,366
162.225,408.541,338
158.62900000000002,392.055,334
174.967,408.538,400
175.66899999999998,438.598,344
171.34,449.25800000000004,323
161.509,413.027,322
159.091,425.90999999999997,284
160.726,395.19,319
159.486,394.64599999999996,321
165.887,431.492,352
170.08300000000003,435.74699999999996,354
170.896,428.25600000000003,303
163.418,423.20700000000005,323
154.804,370.544,373
159.12900000000002,383.194,356
158.994,400.746,361
168.178,423.73699999999997,361
170.771,433.034,338
158.249,396.731,328
155.983,395.118,310
147.14100000000002,381.044,318
158.208,387.475,339
168.82600000000002,433.414,333
162.527,397.283,362
154.218,393.917,335
160.48999999999998,434.69800000000004,329
170.171,422.89700000000005,372
168.717,391.754,366
174.089,430.122,366
159.502,387.17699999999996,339
158.76000000000002,406.91499999999996,339
169.8,414.138,361
170.07999999999998,407.789,375
156.761,402.202,308
177.257,412.76800000000003,370
162.409,413.059,338
165.978,417.683,341
171.586,403.115,341
155.15699999999998,413.517,312
161.685,405.296,358
174.615,439.319,362
178.25900000000001,425.02299999999997,368
164.16000000000003,389.048,365
168.288,400.998,363
173.50400000000002,391.25199999999995,373
174.062,391.46799999999996,385
153.76,380.40700000000004,327
168.832,384.998,339
161.544,384.272,351
166.666,423.438,337
163.893,403.048,338
167.49900000000002,401.39300000000003,360
158.916,366.28000000000003,321
168.788,396.32599999999996,357
166.026,401.90999999999997,329
163.84400000000002,390.02,383
160.07500000000002,374.18600000000004,336
155.897,402.52599999999995,314
167.62400000000002,394.98299999999995,357
158.101,436.536,300
137.112,354.308,319
168.90800000000002,440.711,339
154.746,373.215,319
160.323,366.794,338
160.939,383.71799999999996,352
165.532,423.116,351
165.006,424.89,351
155.752,415.221,325
157.889,419.11400000000003,312
161.75,394.94999999999993,303
162.032,405.029,355
161.644,417.174,335
158.865,392.623,366
172.542,416.238,355
148.27700000000002,361.99499999999995,342
155.107,389.588,322
163.35,370.16200000000003,335
149.63600000000002,379.67199999999997,307
155.796,408.419,323
170.53199999999998,398.41299999999995,335
163.37400000000002,385.675,337
163.97199999999998,427.087,315
158.447,378.59000000000003,340
173.37199999999999,425.091,335
165.873,409.303,348
167.30100000000002,392.643,338
163.955,387.9309999999999,374
164.877,418.709,346
163.284,408.552,319
170.27400000000003,399.463,337
161.654,400.325,331
153.055,374.13599999999997,316
161.103,395.038,350
158.10700000000003,389.106,350
155.30900000000003,372.183,330
157.567,369.683,350
164.595,412.279,350
162.95100000000002,376.02,352
153.304,414.91599999999994,317
163.788,406.726,329
162.333,386.92,326
159.69500000000002,403.99399999999997,320
158.81300000000002,393.67,342
157.485,405.807,362
167.584,410.39599999999996,335
163.224,412.102,325
156.65300000000002,386.725,360
173.989,418.836,402
157.739,385.206,332
156.156,368.05199999999996,361
163.22500000000002,402.52299999999997,350
178.71,451.346,355
157.21200000000002,381.834,319
159.65800000000002,404.711,321
172.311,413.991,378
181.282,430.92199999999997,365
176.94600000000003,415.49600000000004,379
162.35500000000002,366.76,342
168.223,418.748,366
161.44100000000003,388.91700000000003,334
157.279,390.529,320
162.39600000000002,409.014,311
158.21500000000003,372.347,344
169.51,418.917,375
153.99200000000002,382.751,345
162.34199999999998,402.824,325
156.864,392.428,317
160.47200000000004,378.139,325
173.803,441.58000000000004,344
167.502,412.998,353
159.525,375.172,370
158.78,410.697,349
160.483,371.16,352
166.46200000000002,387.536,331
174.24399999999997,429.184,347
166.243,389.58900000000006,396
155.852,355.416,375
162.577,430.212,320
163.70800000000003,403.003,301
170.918,443.95,355
165.417,389.02199999999993,352
169.122,405.15099999999995,359
168.16899999999998,438.935,286
175.971,466.087,360
162.606,388.205,343
149.78400000000002,387.971,349
156.702,399.943,327
168.542,395.358,351
160.595,416.002,346
156.805,406.758,324
160.00900000000001,404.39,348
159.752,388.485,313
148.452,367.879,353
150.82299999999998,372.361,344
168.668,405.12,321
168.022,390.457,375
160.10899999999998,380.974,324
161.03900000000002,385.62,342
158.889,393.121,352
160.553,369.61,332
168.728,414.619,363
162.84,418.538,311
166.43099999999998,394.2,356
167.12400000000002,424.31399999999996,333
151.029,389.209,348
156.61200000000002,428.479,311
158.40800000000002,401.624,317
153.911,396.72299999999996,324
142.157,343.001,328
151.204,370.08,327
154.17000000000002,390.2819999999999,281
162.69299999999998,402.299,312
163.821,423.352,306
183.546,455.243,355
157.95100000000002,366.08500000000004,344
162.446,369.31399999999996,345
164.029,410.085,350
156.925,397.732,334
162.346,381.24899999999997,299
153.344,396.661,337
147.42700000000002,398.88599999999997,302
156.772,378.185,341
141.865,331.423,290
148.179,373.92,330
159.38000000000002,386.08000000000004,339
157.84300000000002,384.849,368
164.83800000000002,411.132,359
160.22,380.86400000000003,335
167.082,393.035,361
163.674,401.67,325
156.60000000000002,384.45900000000006,325
162.207,393.399,340
155.12,383.568,351
160.798,384.78200000000004,345
158.315,375.586,328
161.707,383.28000000000003,302
159.77500000000003,354.572,356
165.782,392.56199999999995,363
158.068,408.789,327
155.356,405.197,337
164.473,441.213,324
180.70900000000003,448.584,374
158.012,409.222,345
157.056,388.77299999999997,339
178.84500000000003,432.80199999999996,330
170.238,443.991,335
174.64,378.29499999999996,375
159.47500000000002,397.702,312
159.703,378.45799999999997,362
162.705,390.98600000000005,306
168.098,403.913,357
167.81,395.314,359
166.784,383.07,361
157.311,369.688,304
166.263,420.201,328
168.263,399.663,364
166.497,400.77200000000005,356
168.808,416.928,335
171.511,409.398,346
157.632,407.98199999999997,355
158.884,391.529,335
165.518,393.885,323
167.263,394.816,328
179.163,422.364,380
164.287,402.028,344
163.439,397.37299999999993,354
159.334,381.31899999999996,331
156.428,401.21,335
159.769,406.858,342
158.29500000000002,400.04999999999995,320
170.91,392.581,375
156.341,381.01,352
163.833,398.01599999999996,364
164.094,415.55899999999997,335
145.749,371.964,304
163.109,395.054,342
171.442,425.092,363
163.58800000000002,386.23,373
155.47400000000002,373.012,305
153.44800000000004,385.403,353
155.19400000000002,392.00300000000004,313
152.317,372.48699999999997,336
162.123,414.35499999999996,344
160.23700000000002,373.811,330
164.086,393.702,357
148.507,377.905,300
159.413,388.008,326
159.80100000000002,435.89300000000003,304
173.104,422.505,355
173.899,433.03999999999996,366
178.47299999999998,422.08299999999997,352
162.52500000000003,413.236,318
161.305,424.024,376
164.54500000000002,408.75800000000004,352
152.67000000000002,391.173,339
165.005,398.267,350
172.92100000000002,441.751,328
154.377,388.72799999999995,350
165.053,419.76699999999994,330
159.27300000000002,401.461,334
163.541,413.46799999999996,338
166.776,391.876,357
165.035,398.321,354
162.80700000000002,396.268,380
174.102,426.143,343
164.28300000000002,392.977,352
148.541,374.659,308
163.851,400.14300000000003,338
167.675,400.817,352
152.241,365.503,344
160.93200000000002,414.48299999999995,333
168.205,388.238,350
164.53300000000002,398.477,382
161.541,390.942,358
